Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure Type
L,298.8,309.1,1439.0,39.2,104.0,0,No Failure
H,298.9,309.2,1379.0,50.7,106.0,0,No Failure
L,298.8,309.1,1350.0,52.5,111.0,0,No Failure
L,298.8,309.1,1362.0,45.4,113.0,0,No Failure
L,298.8,309.1,1368.0,50.8,115.0,0,No Failure
M,298.8,309.1,1368.0,49.1,117.0,0,No Failure
H,298.8,309.2,1372.0,48.5,120.0,0,No Failure
M,298.8,309.1,1472.0,47.5,125.0,0,No Failure
L,298.8,309.1,1489.0,49.1,128.0,0,No Failure
M,298.7,309.0,1843.0,25.8,130.0,0,No Failure
L,298.8,309.1,1418.0,46.3,133.0,0,No Failure
H,298.8,309.2,1425.0,53.9,135.0,0,No Failure
M,298.9,309.2,1412.0,44.1,140.0,0,No Failure
L,298.9,309.1,2861.0,4.6,143.0,1,PWF
L,298.9,309.1,1383.0,54.9,145.0,0,No Failure
H,298.8,309.0,1497.0,43.8,147.0,0,No Failure
L,298.7,309.0,1565.0,35.1,152.0,0,No Failure
L,298.7,309.0,1691.0,30.1,154.0,0,No Failure
L,298.8,309.1,1512.0,40.7,156.0,0,No Failure
L,298.8,309.1,1477.0,42.4,158.0,0,No Failure
L,298.8,309.1,1513.0,40.3,160.0,0,No Failure
M,298.8,309.0,1661.0,29.5,162.0,0,No Failure
L,298.8,309.1,1378.0,54.4,165.0,0,No Failure
L,298.8,309.1,1393.0,52.6,167.0,0,No Failure
M,298.8,309.0,1592.0,38.2,169.0,0,No Failure
L,298.8,309.0,1829.0,22.9,172.0,0,No Failure
M,298.9,309.0,1812.0,25.9,174.0,0,No Failure
L,299.0,309.1,1523.0,38.6,177.0,0,No Failure
L,299.0,309.1,1394.0,45.1,179.0,0,No Failure
M,298.9,308.9,1679.0,28.7,181.0,0,No Failure
H,298.8,308.9,1466.0,44.1,184.0,0,No Failure
L,298.8,308.9,1527.0,32.4,189.0,0,No Failure
L,298.9,309.0,1410.0,65.7,191.0,1,PWF
M,298.9,309.0,1924.0,22.6,193.0,0,No Failure
L,298.9,309.1,1452.0,45.5,196.0,0,No Failure
L,298.9,309.1,1369.0,44.4,198.0,0,No Failure
L,299.0,309.1,1592.0,35.0,200.0,0,No Failure
L,298.9,309.0,1601.0,32.3,202.0,0,No Failure
L,298.8,308.9,1379.0,46.7,204.0,0,No Failure
L,298.8,308.9,1461.0,47.9,206.0,0,No Failure
L,298.8,308.9,1455.0,41.3,208.0,1,TWF
L,298.8,308.9,1398.0,51.5,0.0,0,No Failure
L,298.8,308.9,1402.0,37.9,2.0,0,No Failure
H,298.8,308.8,1445.0,49.9,4.0,0,No Failure
L,298.9,308.9,1450.0,47.5,9.0,0,No Failure
L,298.9,308.9,1453.0,40.8,11.0,0,No Failure
L,299.0,309.0,1469.0,40.1,13.0,0,No Failure
L,298.9,308.9,1422.0,47.6,15.0,0,No Failure
M,299.0,309.0,1804.0,26.8,17.0,0,No Failure
H,299.0,309.0,1436.0,43.9,20.0,0,No Failure
L,299.0,309.0,1544.0,31.8,25.0,0,No Failure
M,299.0,309.0,1419.0,45.2,27.0,0,No Failure
M,298.9,308.9,1487.0,39.5,30.0,0,No Failure
L,298.9,308.9,1753.0,25.8,33.0,0,No Failure
L,298.9,308.9,1830.0,24.9,35.0,0,No Failure
M,298.9,308.9,1727.0,27.1,37.0,0,No Failure
L,299.1,309.0,1450.0,43.0,40.0,0,No Failure
L,299.0,308.9,1622.0,31.9,42.0,0,No Failure
M,299.0,309.0,1351.0,52.2,44.0,0,No Failure
M,299.0,309.0,1575.0,35.3,47.0,0,No Failure
M,298.9,308.9,1750.0,29.9,50.0,0,No Failure
L,298.9,308.8,1529.0,32.7,53.0,0,No Failure
L,298.8,308.8,1523.0,44.4,55.0,0,No Failure
L,298.8,308.9,1852.0,25.0,57.0,0,No Failure
L,298.8,308.8,1991.0,20.7,59.0,0,No Failure
L,298.8,308.8,1555.0,40.6,61.0,0,No Failure
M,298.8,308.8,1441.0,40.5,63.0,0,No Failure
L,298.8,308.7,1450.0,43.4,66.0,0,No Failure
L,298.8,308.7,1591.0,31.1,68.0,0,No Failure
L,298.8,308.7,1445.0,48.5,70.0,0,No Failure
M,298.8,308.8,1497.0,46.8,72.0,0,No Failure
H,298.9,308.8,1621.0,32.7,75.0,0,No Failure
L,298.9,308.7,1572.0,34.1,80.0,0,No Failure
L,298.8,308.6,1872.0,22.5,82.0,0,No Failure
H,298.7,308.6,1499.0,43.5,84.0,0,No Failure
M,298.8,308.7,1498.0,39.5,89.0,0,No Failure
M,298.8,308.6,1486.0,41.9,92.0,0,No Failure
L,298.8,308.6,1680.0,29.4,95.0,0,No Failure
L,298.8,308.6,1431.0,45.7,97.0,0,No Failure
L,298.9,308.7,1564.0,34.1,99.0,0,No Failure
L,298.8,308.6,1599.0,33.0,101.0,0,No Failure
M,298.8,308.6,1707.0,28.1,103.0,0,No Failure
L,298.7,308.5,1467.0,40.7,106.0,0,No Failure
L,298.9,308.7,1433.0,44.7,108.0,0,No Failure
L,298.9,308.7,1558.0,41.2,110.0,0,No Failure
L,299.0,308.8,1310.0,50.7,112.0,0,No Failure
L,298.9,308.7,1546.0,43.4,114.0,0,No Failure
L,298.9,308.7,1727.0,29.4,116.0,0,No Failure
L,298.9,308.6,1560.0,32.2,118.0,0,No Failure
L,299.0,308.6,1329.0,60.5,120.0,0,No Failure
L,298.9,308.6,1413.0,46.5,122.0,0,No Failure
L,299.0,308.6,1587.0,38.6,124.0,0,No Failure
L,298.9,308.5,1559.0,34.3,126.0,0,No Failure
L,298.8,308.4,1473.0,41.1,128.0,0,No Failure
L,298.8,308.4,1737.0,27.7,130.0,0,No Failure
M,298.7,308.4,1441.0,43.2,132.0,0,No Failure
M,298.7,308.4,1430.0,49.6,135.0,0,No Failure
L,298.8,308.4,1369.0,53.0,138.0,0,No Failure
M,298.8,308.5,1711.0,28.5,140.0,0,No Failure
H,298.7,308.5,1420.0,45.7,143.0,0,No Failure
L,298.7,308.6,1297.0,55.3,148.0,0,No Failure
H,298.8,308.6,1449.0,49.4,150.0,0,No Failure
L,298.8,308.6,1268.0,55.8,155.0,0,No Failure
L,298.8,308.6,1511.0,36.1,157.0,0,No Failure
L,298.7,308.5,1544.0,35.2,159.0,0,No Failure
M,298.6,308.4,1778.0,28.2,161.0,0,No Failure
H,298.6,308.4,1407.0,50.5,164.0,0,No Failure
M,298.6,308.4,1391.0,42.4,169.0,0,No Failure
L,298.5,308.4,1513.0,33.6,172.0,0,No Failure
H,298.5,308.4,1612.0,36.1,174.0,0,No Failure
L,298.4,308.4,1515.0,40.1,179.0,0,No Failure
M,298.3,308.3,1379.0,48.0,181.0,0,No Failure
L,298.4,308.3,1473.0,39.9,184.0,0,No Failure
L,298.4,308.3,1422.0,42.7,186.0,0,No Failure
M,298.4,308.2,1463.0,37.6,188.0,0,No Failure
M,298.4,308.2,1584.0,41.0,191.0,0,No Failure
L,298.4,308.2,1850.0,27.0,194.0,0,No Failure
L,298.4,308.2,1528.0,36.2,196.0,0,No Failure
H,298.4,308.2,1987.0,19.8,198.0,0,No Failure
M,298.4,308.1,1495.0,46.0,203.0,0,No Failure
H,298.4,308.2,1478.0,43.5,206.0,0,No Failure
M,298.4,308.2,1499.0,40.0,211.0,0,No Failure
L,298.4,308.2,1471.0,47.0,214.0,0,No Failure
L,298.4,308.2,1282.0,60.7,216.0,1,OSF
L,298.3,308.1,1412.0,52.3,218.0,1,OSF
L,298.3,308.1,1586.0,35.5,0.0,0,No Failure
M,298.4,308.2,1468.0,43.8,2.0,0,No Failure
M,298.5,308.3,1440.0,43.6,5.0,0,No Failure
L,298.5,308.4,1733.0,26.0,8.0,0,No Failure
H,298.4,308.2,1612.0,32.6,10.0,0,No Failure
H,298.4,308.3,1458.0,42.9,15.0,0,No Failure
L,298.4,308.3,1433.0,62.3,20.0,1,PWF
L,298.4,308.3,1318.0,59.1,22.0,0,No Failure
M,298.4,308.2,1610.0,35.0,24.0,0,No Failure
L,298.2,308.1,1462.0,50.8,27.0,0,No Failure
M,298.1,308.0,1924.0,20.8,29.0,0,No Failure
M,298.2,308.0,1591.0,33.7,32.0,0,No Failure
L,298.2,308.1,1306.0,58.3,35.0,0,No Failure
L,298.2,308.1,1382.0,43.5,37.0,0,No Failure
L,298.2,308.1,1618.0,34.7,39.0,0,No Failure
L,298.2,308.2,1988.0,21.4,41.0,0,No Failure
L,298.2,308.2,1436.0,50.2,43.0,0,No Failure
L,298.2,308.3,1304.0,49.8,45.0,0,No Failure
L,298.2,308.3,1475.0,49.9,47.0,0,No Failure
H,298.2,308.3,1824.0,24.2,49.0,0,No Failure
M,298.1,308.2,1342.0,48.1,54.0,0,No Failure
L,298.1,308.2,1485.0,40.7,57.0,0,No Failure
L,298.2,308.2,1667.0,30.6,59.0,0,No Failure
L,298.2,308.2,1446.0,38.2,61.0,0,No Failure
L,298.1,308.3,1301.0,56.0,63.0,0,No Failure
L,298.2,308.4,1379.0,43.1,65.0,0,No Failure
L,298.3,308.5,1606.0,33.6,67.0,0,No Failure
M,298.3,308.4,1539.0,43.4,69.0,0,No Failure
L,298.2,308.4,1477.0,49.9,72.0,0,No Failure
L,298.2,308.4,1666.0,34.6,74.0,0,No Failure
H,298.2,308.4,1398.0,51.8,76.0,0,No Failure
H,298.2,308.4,1678.0,34.6,81.0,0,No Failure
M,298.2,308.5,2678.0,10.7,86.0,1,PWF
L,298.3,308.5,1453.0,42.9,89.0,0,No Failure
H,298.3,308.6,1432.0,49.5,91.0,0,No Failure
M,298.4,308.6,1527.0,40.9,96.0,0,No Failure
L,298.4,308.7,1588.0,35.0,99.0,0,No Failure
L,298.4,308.6,1433.0,47.1,101.0,0,No Failure
L,298.4,308.6,1609.0,35.0,103.0,0,No Failure
L,298.3,308.5,1575.0,41.2,105.0,0,No Failure
M,298.4,308.5,1636.0,35.7,107.0,0,No Failure
L,298.4,308.5,1490.0,37.9,110.0,0,No Failure
L,298.4,308.5,1741.0,32.8,112.0,0,No Failure
M,298.5,308.6,1344.0,53.0,114.0,0,No Failure
L,298.5,308.7,1609.0,35.3,117.0,0,No Failure
M,298.4,308.7,1421.0,60.7,119.0,1,PWF
L,298.4,308.6,1591.0,36.7,122.0,0,No Failure
L,298.4,308.6,1477.0,44.0,124.0,0,No Failure
L,298.4,308.7,1523.0,36.1,126.0,0,No Failure
L,298.5,308.7,1575.0,33.9,128.0,0,No Failure
H,298.4,308.7,1344.0,52.9,130.0,0,No Failure
L,298.4,308.7,1386.0,44.9,135.0,0,No Failure
M,298.3,308.6,1589.0,37.1,137.0,0,No Failure
L,298.3,308.6,1548.0,40.3,140.0,0,No Failure
L,298.3,308.6,1499.0,38.3,142.0,0,No Failure
L,298.3,308.5,1664.0,31.6,144.0,0,No Failure
L,298.3,308.6,1447.0,38.1,146.0,0,No Failure
M,298.3,308.5,1434.0,46.2,148.0,0,No Failure
L,298.3,308.5,1416.0,52.7,151.0,0,No Failure
H,298.4,308.5,1827.0,24.3,153.0,0,No Failure
L,298.4,308.6,1304.0,45.0,158.0,0,No Failure
L,298.4,308.6,1569.0,34.4,160.0,0,No Failure
L,298.3,308.6,1584.0,29.3,162.0,0,No Failure
L,298.3,308.5,1362.0,53.8,164.0,0,No Failure
L,298.3,308.4,1329.0,49.2,166.0,0,No Failure
L,298.3,308.5,1539.0,36.1,168.0,0,No Failure
M,298.3,308.5,1629.0,37.1,170.0,0,No Failure
L,298.3,308.5,1538.0,32.2,173.0,0,No Failure
L,298.3,308.6,1570.0,34.8,175.0,0,No Failure
L,298.3,308.4,1408.0,43.1,177.0,0,No Failure
L,298.2,308.4,1424.0,47.6,179.0,0,No Failure
L,298.2,308.4,1512.0,34.9,181.0,0,No Failure
L,298.2,308.4,1478.0,42.9,183.0,0,No Failure
M,298.1,308.3,1680.0,33.7,185.0,0,No Failure
L,298.1,308.3,1495.0,38.7,188.0,0,No Failure
M,298.0,308.1,1552.0,36.6,190.0,0,No Failure
L,297.9,308.1,1393.0,50.3,193.0,0,No Failure
L,298.0,308.2,1611.0,30.6,195.0,0,No Failure
M,298.0,308.1,1339.0,51.6,197.0,0,No Failure
L,298.0,308.1,1777.0,24.3,200.0,0,No Failure
L,298.0,308.2,1348.0,58.8,202.0,1,OSF
L,298.0,308.2,1442.0,44.1,204.0,0,No Failure
M,298.0,308.2,1395.0,49.1,206.0,0,No Failure
M,297.9,308.1,1627.0,31.4,209.0,0,No Failure
L,297.9,308.1,1585.0,33.5,212.0,0,No Failure
L,298.0,308.2,1469.0,45.5,214.0,0,No Failure
L,298.0,308.3,1362.0,56.8,216.0,1,OSF
L,298.0,308.3,1405.0,56.2,218.0,1,OSF
L,298.0,308.3,1662.0,32.7,0.0,0,No Failure
M,298.0,308.2,1466.0,42.6,2.0,0,No Failure
L,298.0,308.2,1620.0,35.8,5.0,0,No Failure
L,298.0,308.2,1357.0,48.2,7.0,0,No Failure
L,298.0,308.2,1514.0,37.9,9.0,0,No Failure
L,298.0,308.2,1489.0,40.4,11.0,0,No Failure
L,298.1,308.3,1331.0,63.0,13.0,0,No Failure
L,298.0,308.0,1615.0,29.5,15.0,0,No Failure
L,298.1,308.2,1482.0,37.9,17.0,0,No Failure
M,298.1,308.2,1420.0,63.9,19.0,1,PWF
M,298.2,308.3,1522.0,49.1,22.0,0,No Failure
L,298.1,308.2,1654.0,32.1,25.0,0,No Failure
M,298.1,308.2,1736.0,26.8,27.0,0,No Failure
M,298.0,308.1,1587.0,32.3,30.0,0,No Failure
L,298.1,308.2,1390.0,47.5,33.0,0,No Failure
L,298.0,308.1,1454.0,37.1,35.0,0,No Failure
H,298.0,308.1,1440.0,43.7,37.0,0,No Failure
L,297.9,308.0,1954.0,21.1,42.0,0,No Failure
H,297.9,308.0,1800.0,24.8,44.0,0,No Failure
L,298.0,308.0,1524.0,37.0,49.0,0,No Failure
H,298.0,308.0,1520.0,39.6,51.0,0,No Failure
M,298.1,308.1,1452.0,40.8,56.0,0,No Failure
L,298.1,308.1,1484.0,40.4,59.0,0,No Failure
L,298.1,308.0,1426.0,46.0,61.0,0,No Failure
L,298.1,308.0,1652.0,28.5,63.0,0,No Failure
L,298.0,308.0,1401.0,54.7,65.0,0,No Failure
M,298.0,307.9,1750.0,26.6,67.0,0,No Failure
H,298.0,308.0,1479.0,50.7,70.0,0,No Failure
M,298.0,308.0,1620.0,29.4,75.0,0,No Failure
L,298.0,308.1,1819.0,23.4,78.0,0,No Failure
M,298.1,308.1,1456.0,43.7,80.0,0,No Failure
L,298.1,308.0,1626.0,36.5,83.0,0,No Failure
M,298.1,308.1,1390.0,49.8,85.0,0,No Failure
L,298.2,308.2,1469.0,43.0,88.0,0,No Failure
L,298.2,308.3,2051.0,19.2,90.0,0,No Failure
L,298.2,308.3,1568.0,36.0,92.0,0,No Failure
L,298.2,308.3,1589.0,33.2,94.0,0,No Failure
L,298.2,308.3,1805.0,31.6,96.0,0,No Failure
H,298.2,308.4,1385.0,42.2,98.0,0,No Failure
L,298.1,308.4,1436.0,46.7,103.0,0,No Failure
L,298.1,308.4,1438.0,45.6,105.0,0,No Failure
L,298.0,308.3,1473.0,42.6,107.0,0,No Failure
L,298.1,308.4,1335.0,40.2,109.0,0,No Failure
H,298.1,308.5,1392.0,44.8,111.0,0,No Failure
M,298.1,308.5,1372.0,51.1,116.0,0,No Failure
M,298.1,308.6,1716.0,30.7,119.0,0,No Failure
L,298.0,308.5,1395.0,46.2,122.0,0,No Failure
L,298.0,308.5,1713.0,25.3,124.0,0,No Failure
H,297.9,308.5,2129.0,18.7,126.0,0,No Failure
M,297.8,308.3,1567.0,35.6,131.0,0,No Failure
L,297.8,308.4,1622.0,38.3,134.0,0,No Failure
L,297.7,308.4,1740.0,27.1,136.0,0,No Failure
H,297.8,308.4,1512.0,35.1,138.0,0,No Failure
M,297.8,308.4,1479.0,43.5,143.0,0,No Failure
L,297.8,308.4,1737.0,27.5,146.0,0,No Failure
L,297.8,308.4,2129.0,19.2,148.0,0,No Failure
L,297.8,308.4,1374.0,47.1,150.0,0,No Failure
M,297.8,308.4,1579.0,36.6,152.0,0,No Failure
L,297.9,308.5,1305.0,47.2,155.0,0,No Failure
M,297.9,308.5,1449.0,40.8,157.0,0,No Failure
H,298.0,308.6,1526.0,41.8,160.0,0,No Failure
M,298.0,308.6,1453.0,44.1,165.0,0,No Failure
L,297.9,308.6,1468.0,36.0,168.0,0,No Failure
L,298.0,308.6,1313.0,50.8,170.0,0,No Failure
M,297.9,308.5,1300.0,53.0,172.0,0,No Failure
L,297.9,308.4,1646.0,40.6,175.0,0,No Failure
L,297.8,308.4,1714.0,33.2,177.0,0,No Failure
L,297.8,308.4,1685.0,28.4,179.0,0,No Failure
L,297.8,308.4,1512.0,39.9,181.0,0,No Failure
L,297.8,308.4,1612.0,32.1,183.0,0,No Failure
H,297.8,308.4,1550.0,38.2,185.0,0,No Failure
L,297.8,308.4,1518.0,32.5,190.0,0,No Failure
L,297.8,308.5,1448.0,40.0,192.0,0,No Failure
L,297.8,308.5,1561.0,46.3,194.0,0,No Failure
M,297.8,308.5,1488.0,41.9,196.0,0,No Failure
L,297.8,308.5,1699.0,27.8,199.0,0,No Failure
L,297.7,308.5,1501.0,41.4,201.0,0,No Failure
L,297.7,308.5,1373.0,56.7,203.0,1,OSF
H,297.6,308.4,1703.0,31.4,205.0,0,No Failure
H,297.7,308.5,1720.0,29.9,210.0,0,No Failure
M,297.6,308.4,1398.0,41.9,215.0,0,No Failure
M,297.6,308.4,1391.0,51.9,218.0,0,No Failure
M,297.6,308.3,1538.0,40.2,0.0,0,No Failure
L,297.5,308.2,1647.0,31.3,3.0,0,No Failure
M,297.5,308.1,1469.0,44.8,5.0,0,No Failure
L,297.4,308.1,1749.0,25.9,8.0,0,No Failure
M,297.6,308.2,1995.0,20.5,10.0,0,No Failure
L,297.6,308.3,1742.0,27.7,13.0,0,No Failure
L,297.5,308.2,1563.0,38.2,15.0,0,No Failure
M,297.5,308.2,1713.0,32.2,17.0,0,No Failure
L,297.4,308.1,1474.0,39.4,20.0,0,No Failure
M,297.4,308.2,1530.0,32.6,22.0,0,No Failure
L,297.4,308.2,1471.0,46.5,25.0,0,No Failure
L,297.5,308.3,1388.0,48.6,27.0,0,No Failure
M,297.5,308.2,2448.0,13.8,29.0,0,No Failure
L,297.5,308.3,1585.0,32.9,32.0,0,No Failure
M,297.5,308.3,1459.0,45.2,34.0,0,No Failure
L,297.5,308.3,1544.0,40.8,37.0,0,No Failure
L,297.6,308.3,1617.0,31.7,39.0,0,No Failure
L,297.6,308.3,1595.0,34.3,41.0,0,No Failure
H,297.6,308.3,1400.0,44.3,43.0,0,No Failure
M,297.6,308.4,1611.0,31.0,48.0,0,No Failure
M,297.6,308.4,1507.0,46.0,51.0,0,No Failure
H,297.5,308.3,1674.0,30.0,54.0,0,No Failure
L,297.6,308.3,1658.0,34.3,59.0,0,No Failure
L,297.6,308.3,1623.0,36.9,61.0,0,No Failure
M,297.6,308.4,1398.0,48.9,63.0,0,No Failure
L,297.6,308.4,1517.0,34.2,66.0,0,No Failure
M,297.6,308.3,1467.0,36.7,68.0,0,No Failure
M,297.6,308.3,1567.0,34.6,71.0,0,No Failure
M,297.5,308.3,1521.0,38.2,74.0,0,No Failure
L,297.5,308.3,1596.0,36.8,77.0,0,No Failure
H,297.6,308.3,1640.0,30.9,79.0,0,No Failure
L,297.6,308.3,1438.0,47.8,84.0,0,No Failure
L,297.6,308.4,1407.0,55.2,86.0,0,No Failure
L,297.6,308.4,1353.0,57.5,88.0,0,No Failure
M,297.6,308.5,1552.0,40.9,90.0,0,No Failure
M,297.6,308.4,1569.0,38.3,93.0,0,No Failure
L,297.5,308.4,1489.0,39.5,96.0,0,No Failure
H,297.5,308.4,1587.0,36.1,98.0,0,No Failure
M,297.5,308.3,1622.0,37.2,103.0,0,No Failure
L,297.5,308.4,1604.0,38.1,106.0,0,No Failure
M,297.4,308.3,1405.0,51.7,108.0,0,No Failure
L,297.4,308.3,1412.0,42.0,111.0,0,No Failure
L,297.4,308.3,1431.0,43.0,113.0,0,No Failure
L,297.4,308.2,1533.0,37.4,115.0,0,No Failure
M,297.4,308.2,1401.0,51.9,117.0,0,No Failure
M,297.4,308.2,1424.0,53.9,120.0,0,No Failure
L,297.3,308.2,1754.0,29.4,123.0,0,No Failure
L,297.3,308.2,1754.0,26.8,125.0,0,No Failure
L,297.5,308.3,2564.0,12.8,127.0,1,PWF
L,297.5,308.5,1546.0,40.4,129.0,0,No Failure
L,297.5,308.5,1335.0,48.0,131.0,0,No Failure
M,297.5,308.6,1842.0,27.0,133.0,0,No Failure
L,297.5,308.5,1712.0,26.8,136.0,0,No Failure
M,297.6,308.6,1414.0,45.4,138.0,0,No Failure
L,297.6,308.7,1319.0,50.9,141.0,0,No Failure
L,297.7,308.7,1249.0,60.4,143.0,0,No Failure
L,297.6,308.7,1455.0,48.2,145.0,0,No Failure
M,297.6,308.7,1408.0,54.8,147.0,0,No Failure
L,297.6,308.7,1460.0,46.7,150.0,0,No Failure
L,297.6,308.6,1491.0,38.1,152.0,0,No Failure
M,297.6,308.5,1490.0,43.4,154.0,0,No Failure
M,297.5,308.4,1350.0,52.2,157.0,0,No Failure
L,297.5,308.4,1528.0,39.9,160.0,0,No Failure
L,297.4,308.3,1571.0,37.7,162.0,0,No Failure
L,297.4,308.3,1490.0,42.6,164.0,0,No Failure
M,297.4,308.3,1774.0,28.9,166.0,0,No Failure
H,297.4,308.3,1502.0,43.6,169.0,0,No Failure
L,297.4,308.4,1392.0,49.7,174.0,0,No Failure
L,297.4,308.5,2100.0,16.9,176.0,0,No Failure
L,297.5,308.5,1722.0,30.4,178.0,0,No Failure
L,297.4,308.6,1678.0,32.3,180.0,0,No Failure
L,297.3,308.6,1273.0,59.8,182.0,0,No Failure
L,297.3,308.6,1297.0,45.9,184.0,0,No Failure
L,297.3,308.5,1350.0,57.6,186.0,0,No Failure
L,297.4,308.6,1439.0,51.9,188.0,0,No Failure
M,297.4,308.5,1600.0,42.1,190.0,0,No Failure
M,297.4,308.6,1434.0,44.4,193.0,0,No Failure
L,297.4,308.6,1459.0,41.3,196.0,0,No Failure
M,297.5,308.6,1472.0,44.9,198.0,0,No Failure
L,297.5,308.7,1429.0,44.3,201.0,0,No Failure
L,297.5,308.6,1388.0,48.2,203.0,0,No Failure
L,297.4,308.4,1573.0,34.5,205.0,0,No Failure
L,297.4,308.4,1588.0,32.5,207.0,0,No Failure
L,297.5,308.4,1511.0,42.8,209.0,0,No Failure
L,297.4,308.5,1495.0,37.8,211.0,0,No Failure
L,297.4,308.4,1394.0,50.1,213.0,0,No Failure
L,297.4,308.4,2151.0,17.7,0.0,0,No Failure
M,297.3,308.3,1501.0,38.2,2.0,0,No Failure
M,297.3,308.3,1301.0,39.6,5.0,0,No Failure
M,297.3,308.3,1657.0,31.1,8.0,0,No Failure
L,297.3,308.3,1333.0,55.2,11.0,0,No Failure
L,297.3,308.3,1484.0,43.9,13.0,0,No Failure
L,297.3,308.4,1430.0,45.7,15.0,0,No Failure
M,297.3,308.4,1665.0,28.9,17.0,0,No Failure
L,297.4,308.5,1501.0,44.9,20.0,0,No Failure
M,297.5,308.5,1496.0,42.2,22.0,0,No Failure
M,297.6,308.6,1595.0,36.9,25.0,0,No Failure
L,297.5,308.6,1208.0,62.3,28.0,0,No Failure
L,297.5,308.6,1596.0,37.1,30.0,0,No Failure
L,297.5,308.5,1446.0,41.9,32.0,0,No Failure
M,297.6,308.5,1466.0,39.7,34.0,0,No Failure
M,297.6,308.5,1848.0,23.7,37.0,0,No Failure
M,297.5,308.5,1484.0,44.7,40.0,0,No Failure
L,297.4,308.3,1493.0,41.2,43.0,0,No Failure
L,297.3,308.3,1504.0,36.3,45.0,0,No Failure
L,297.3,308.3,1538.0,38.5,47.0,0,No Failure
L,297.4,308.4,1341.0,52.2,49.0,0,No Failure
M,297.4,308.3,1535.0,34.6,51.0,0,No Failure
L,297.4,308.5,1389.0,39.2,54.0,0,No Failure
H,297.5,308.5,1393.0,46.6,56.0,0,No Failure
L,297.4,308.5,1399.0,61.5,61.0,1,PWF
H,297.4,308.5,1469.0,45.1,63.0,0,No Failure
L,297.4,308.4,1582.0,37.2,68.0,0,No Failure
L,297.5,308.6,1793.0,26.7,70.0,0,No Failure
L,297.5,308.6,1452.0,39.0,72.0,0,No Failure
M,297.6,308.7,1376.0,59.9,74.0,0,No Failure
L,297.5,308.6,1552.0,44.9,77.0,0,No Failure
L,297.6,308.7,1622.0,37.9,79.0,0,No Failure
M,297.6,308.7,1419.0,41.7,81.0,0,No Failure
H,297.5,308.6,1440.0,46.1,84.0,0,No Failure
M,297.4,308.6,1643.0,31.0,89.0,0,No Failure
L,297.4,308.7,1510.0,36.2,92.0,0,No Failure
L,297.4,308.7,1468.0,46.6,94.0,0,No Failure
L,297.4,308.7,1429.0,57.4,96.0,0,No Failure
H,297.3,308.7,1478.0,47.6,98.0,0,No Failure
L,297.4,308.6,1276.0,53.6,103.0,0,No Failure
L,297.3,308.6,1486.0,42.6,105.0,0,No Failure
L,297.4,308.6,1476.0,42.3,107.0,0,No Failure
H,297.3,308.6,1431.0,42.0,109.0,0,No Failure
L,297.4,308.7,1402.0,40.2,114.0,0,No Failure
L,297.4,308.7,1433.0,43.4,116.0,0,No Failure
